"Label","prompt","src","response","text","remove"
"Black","Alternative medicine is now embracing the curative powers of _.","json-against-humanity/src/Base",NA,"Alternative medicine is now embracing the curative powers of _.",FALSE
"White",NA,"json-against-humanity/src/Base","Active listening.","Active listening.",FALSE
"White",NA,"json-against-humanity/src/Base","Dental dams.","Dental dams.",FALSE
"White",NA,"json-against-humanity/src/Base","Serfdom.","Serfdom.",FALSE
"White",NA,"json-against-humanity/src/Base","Passing a kidney stone.","Passing a kidney stone.",FALSE
"White",NA,"json-against-humanity/src/Base","Sniffing glue.","Sniffing glue.",FALSE
"Black","This is the way the world ends /   This is the way the world ends /   Not with a bang but with _.","json-against-humanity/src/Base",NA,"This is the way the world ends /   This is the way the world ends /   Not with a bang but with _.",FALSE
"White",NA,"json-against-humanity/src/Base","Being marginalized.","Being marginalized.",FALSE
"Black","What will I bring back in time to convince people that I am a powerful wizard?","json-against-humanity/src/Base",NA,"What will I bring back in time to convince people that I am a powerful wizard?",FALSE
"Black","What's my secret power?","json-against-humanity/src/Base",NA,"What's my secret power?",FALSE
"White",NA,"json-against-humanity/src/Base","Hot Pockets®.","Hot Pockets®.",FALSE
"White",NA,"json-against-humanity/src/Base","The Amish.","The Amish.",FALSE
"White",NA,"json-against-humanity/src/Base","Riding off into the sunset.","Riding off into the sunset.",FALSE
"White",NA,"json-against-humanity/src/Base","Battlefield amputations.","Battlefield amputations.",FALSE
"White",NA,"json-against-humanity/src/Base","Vigilante justice.","Vigilante justice.",FALSE
"White",NA,"json-against-humanity/src/Base","The milk man.","The milk man.",FALSE
"White",NA,"json-against-humanity/src/Base","Darth Vader.","Darth Vader.",FALSE
"Black","It's a pity that kids these days are all getting involved with _.","json-against-humanity/src/Base",NA,"It's a pity that kids these days are all getting involved with _.",FALSE
"Black","Maybe she's born with it. Maybe it's _.","json-against-humanity/src/Base",NA,"Maybe she's born with it. Maybe it's _.",FALSE
"White",NA,"json-against-humanity/src/Base","Ghosts.","Ghosts.",FALSE
"White",NA,"json-against-humanity/src/Base","Science.","Science.",FALSE
"White",NA,"json-against-humanity/src/Base","The penny whistle solo from ""My Heart Will Go On.""","The penny whistle solo from ""My Heart Will Go On.""",FALSE
"White",NA,"json-against-humanity/src/Base","That thing that electrocutes your abs.","That thing that electrocutes your abs.",FALSE
"White",NA,"json-against-humanity/src/Base","Land mines.","Land mines.",FALSE
"White",NA,"json-against-humanity/src/Base","Capturing Newt Gingrich and forcing him to dance in a monkey suit.","Capturing Newt Gingrich and forcing him to dance in a monkey suit.",FALSE
"White",NA,"json-against-humanity/src/Base","A Bop It™.","A Bop It™.",FALSE
"White",NA,"json-against-humanity/src/Base","One trillion dollars.","One trillion dollars.",FALSE
"White",NA,"json-against-humanity/src/Base","Stormtroopers.","Stormtroopers.",FALSE
