"Label","prompt","src","response","remove","text"
"Black","Why can't I sleep at night?","json-against-humanity/src/Base",NA,FALSE,"Why can't I sleep at night?"
"Black","I got 99 problems but _ ain't one.","json-against-humanity/src/Base",NA,FALSE,"I got 99 problems but _ ain't one."
"Black","What's a girl's best friend?","json-against-humanity/src/Base",NA,FALSE,"What's a girl's best friend?"
"Black","What's that smell?","json-against-humanity/src/Base",NA,FALSE,"What's that smell?"
"Black","This is the way the world ends \<br>This is the way the world ends \<br>Not with a bang but with _.","json-against-humanity/src/Base",NA,FALSE,"This is the way the world ends \<br>This is the way the world ends \<br>Not with a bang but with _."
"Black","What is Batman's guilty pleasure?","json-against-humanity/src/Base",NA,FALSE,"What is Batman's guilty pleasure?"
"Black","TSA guidelines now prohibit _ on airplanes.","json-against-humanity/src/Base",NA,FALSE,"TSA guidelines now prohibit _ on airplanes."
"Black","What ended my last relationship?","json-against-humanity/src/Base",NA,FALSE,"What ended my last relationship?"
"Black","MTV's new reality show features eight washed-up celebrities living with _.","json-against-humanity/src/Base",NA,FALSE,"MTV's new reality show features eight washed-up celebrities living with _."
"Black","I drink to forget _.","json-against-humanity/src/Base",NA,FALSE,"I drink to forget _."
"Black","I'm sorry, Professor, but I couldn't complete my homework because of _.","json-against-humanity/src/Base",NA,FALSE,"I'm sorry, Professor, but I couldn't complete my homework because of _."
"Black","What's that sound?","json-against-humanity/src/Base",NA,FALSE,"What's that sound?"
"Black","What's the next Happy Meal&reg; toy?","json-against-humanity/src/Base",NA,FALSE,"What's the next Happy Meal&reg; toy?"
"Black","It's a pity that kids these days are all getting involved with _.","json-against-humanity/src/Base",NA,FALSE,"It's a pity that kids these days are all getting involved with _."
"Black","In the new Disney Channel Original Movie, Hannah Montana struggles with _ for the first time.","json-against-humanity/src/Base",NA,FALSE,"In the new Disney Channel Original Movie, Hannah Montana struggles with _ for the first time."
"Black","_. That's how I want to die.","json-against-humanity/src/Base",NA,FALSE,"_. That's how I want to die."
"Black","What's the most emo?","json-against-humanity/src/Base",NA,FALSE,"What's the most emo?"
